finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,distal_start_x_mm,distal_start_y_mm,distal_end_x_mm,distal_end_y_mm,r4_x_mm,r4_y_mm,rod_length_mm,rod_error_mm,perpendicular_deviation_deg,mechanism_residual_mm
middle,0.0,0.0,96.932098,10.514118,0.0,-2.0,49.0,-2.0,76.0,-2.0,103.0,-2.0,76.0,-2.0,103.0,-2.0,89.5,-2.0,28.0,13.445302133004343,30.705952228880232,1.0075033500811514e-06
middle,0.5,0.007633587786259542,96.96557307365543,9.407318575703622,0.0,-2.0,48.999404638431415,-2.2415472609362204,75.99618020625371,-2.658810895384777,102.99128010729812,-3.173185595999241,75.99618020625371,-2.658810895384777,102.99128010729812,-3.173185595999241,89.49373015677591,-2.915998245692009,28.0,13.588456916241924,30.13756429501541,1.3495146333752928e-08
middle,1.0,0.015267175572519083,96.98537435857926,8.299321161569498,0.0,-2.0,48.99761856819323,-2.4830886521599442,75.98472160962781,-3.317516258961539,102.96512299239579,-4.3460789574546705,75.98472160962781,-3.3175162589615383,102.96512299239579,-4.34607895745467,89.4749223010118,-3.8317976082081042,28.0,13.73217140853347,29.578704602248703,1.355390111257293e-08
middle,1.5,0.022900763358778626,96.99146090768079,7.190322661432497,0.0,-2.0,48.994641832687805,-2.724618304101312,75.9656265637769,-3.976010582868882,102.9215363440731,-5.518387941536633,75.9656265637769,-3.976010582868882,102.9215363440731,-5.518387941536633,89.44358145392499,-4.7471992622027575,28.0,13.876441173496628,29.029618939914286,1.3615867544558569e-08
middle,2.0,0.030534351145038167,96.9837948683872,6.0805200420341246,0.0,-2.0,48.990474504251196,-2.9661303474757355,75.93889899084434,-4.634188407132942,102.86053297419755,-6.689820588813509,75.93889899084434,-4.634188407132942,102.86053297419755,-6.689820588813509,89.39971598252095,-5.662004497973225,28.0,14.021261318712721,28.490566896369295,1.3681393795650365e-08
middle,2.5,0.03816793893129771,96.96234155506866,4.970111109580549,0.0,-2.0,48.98511668415147,-3.2076189134265207,75.90454438054103,-5.29194434359693,102.7821308135761,-7.860085214875014,75.90454438054103,-5.29194434359693,102.7821308135761,-7.860085214875015,89.34333759705856,-6.576014779235972,28.0,14.166625706192553,27.96182109525318,1.3750785399224696e-08
middle,3.0,0.04580152671755725,96.9270694623122,3.859294427920463,0.0,-2.0,48.97856850258618,-3.449078133667488,75.86256978885588,-5.949173099833629,102.68635290614989,-9.028890501864701,75.86256978885588,-5.949173099833629,102.68635290614989,-9.028890501864701,89.27446134750289,-7.489031800849165,28.0,14.31252692592873,27.443668010724092,1.3824354994085297e-08
middle,3.5,0.05343511450381679,96.87795027488391,2.748269236735056,0.0,-2.0,48.970830118679224,-3.6905021406255702,75.81298383639847,-6.605769503035132,102.57322740153379,-10.195945589891398,75.81298383639847,-6.605769503035131,102.57322740153379,-10.195945589891396,89.19310561896613,-8.400857546463264,28.0,14.4589562657298,26.93640882834434,1.3902443640745332e-08
middle,4.0,0.061068702290076333,96.81495887438535,1.6372353698741104,0.0,-2.0,48.961901720476995,-3.9318850675834027,75.75579670637423,-7.2616285238741645,102.44278754590306,-11.36096016828943,75.75579670637423,-7.2616285238741645,102.44278754590306,-11.36096016828943,89.09929212613864,-9.311294346081798,28.0,14.60590367694895,26.440360354674176,1.3985385294290609e-08
middle,4.5,0.06870229007633588,96.7380733426146,0.526393173969248,0.0,-2.0,48.95178352494378,-4.1732210488218815,75.69102014219243,-7.916645300331328,102.29507167123029,-12.523644566697488,75.69102014219243,-7.916645300331329,102.29507167123029,-12.52364456669749,88.99304590671136,-10.220144933514408,28.0,14.753357735694214,25.955855978793796,1.4073528120661649e-08
middle,5.0,0.07633587786259542,96.6472749616471,-0.5840565725444858,0.0,-2.0,48.940475777956514,-4.414504219762707,75.618667444708,-8.570715161482587,102.13012318287622,-13.68370984592605,75.618667444708,-8.570715161482587,102.13012318287622,-13.68370984592605,88.8743953137921,-11.127212503704317,28.0,14.90130559907633,25.483246689119696,1.4167198969516903e-08
middle,5.5,0.08396946564885496,96.54254821065615,-1.6939127398692533,0.0,-2.0,48.92797875429878,-4.655728717110895,75.53875346909729,-9.223733651241371,101.94799054553856,-14.840867888583377,75.53875346909729,-9.223733651241371,101.94799054553856,-14.840867888583377,88.74337200731793,-12.032300769912375,28.0,15.049732956017621,25.022902149026105,1.4266795744788396e-08
