q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,g_x_mm,g_y_mm,h_x_mm,h_y_mm
29,3.793539349e-08,0,0,15.02909823,27.11321092,68.92069557,23.693308,54,0,65.518519,7.957621,85.22476157,-14.66237025,110.8938173,-3.477578055,130.2921301,-49.56125699
29.5,3.937542914e-08,0,0,15.26513036,26.98102657,69.15562101,23.54372851,54,0,65.518519,7.957621,85.02100488,-14.83827874,110.8564135,-4.043295656,129.5549798,-50.41530903
30,4.09001828e-08,0,0,15.5,26.84678752,69.38934802,23.39162175,54,0,65.518519,7.957621,84.81712086,-15.01113967,110.8133254,-4.609344224,128.8062366,-51.2596942
30.5,4.251531038e-08,0,0,15.73368925,26.71050397,69.62185753,23.23698706,54,0,65.518519,7.957621,84.61316097,-15.18097551,110.7645332,-5.175690365,128.045982,-52.09425313
31,4.422705047e-08,0,0,15.96618032,26.57218632,69.85313053,23.0798235,54,0,65.518519,7.957621,84.40917603,-15.34780922,110.7100166,-5.742301031,127.2742973,-52.91882704
31.5,4.604205373e-08,0,0,16.1974555,26.4318451,70.083148,22.92012981,54,0,65.518519,7.957621,84.20521624,-15.51166418,110.6497547,-6.309143537,126.4912635,-53.73325768
32,4.796758901e-08,0,0,16.42749719,26.28949098,70.311891,22.75790439,54,0,65.518519,7.957621,84.00133122,-15.67256421,110.5837262,-6.87618558,125.696961,-54.5373872
32.5,5.001152203e-08,0,0,16.65628786,26.14513482,70.53934058,22.59314528,54,0,65.518519,7.957621,83.79757,-15.83053352,110.5119091,-7.443395261,124.8914694,-55.33105808
33,5.218239352e-08,0,0,16.88381008,25.99878761,70.76547782,22.42585013,54,0,65.518519,7.957621,83.59398106,-15.98559666,110.4342806,-8.010741101,124.0748677,-56.11411301
33.5,5.448950446e-08,0,0,17.11004654,25.85046049,70.99028383,22.25601617,54,0,65.518519,7.957621,83.3906124,-16.13777852,110.3508174,-8.578192065,123.247234,-56.88639472
34,5.694300853e-08,0,0,17.33498,25.70016475,71.21373974,22.0836402,54,0,65.518519,7.957621,83.18751151,-16.28710429,110.2614953,-9.145717584,122.4086452,-57.64774592
34.5,5.955391202e-08,0,0,17.55859334,25.54791185,71.43582668,21.90871855,54,0,65.518519,7.957621,82.98472544,-16.43359941,110.1662892,-9.713287582,121.5591772,-58.3980091
35,6.233430838e-08,0,0,17.78086952,25.39371337,71.65652581,21.73124701,54,0,65.518519,7.957621,82.78230082,-16.57728959,110.0651734,-10.2808725,120.6989042,-59.13702639
35.5,6.529737817e-08,0,0,18.00179162,25.23758107,71.87581829,21.55122087,54,0,65.518519,7.957621,82.58028394,-16.71820072,109.9581208,-10.8484433,119.8278991,-59.86463941
36,6.845756673e-08,0,0,18.22134282,25.07952683,72.09368527,21.36863482,54,0,65.518519,7.957621,82.37872074,-16.85635889,109.8451036,-11.41597156,118.9462331,-60.58068907
36.5,7.183069073e-08,0,0,18.43950639,24.91956268,72.31010791,21.18348293,54,0,65.518519,7.957621,82.17765689,-16.99179032,109.7260928,-11.98342941,118.0539753,-61.28501538
37,7.543415848e-08,0,0,18.65626571,24.75770081,72.52506737,20.99575861,54,0,65.518519,7.957621,81.97713786,-17.12452137,109.6010583,-12.55078963,117.1511929,-61.97745726
37.5,7.928707646e-08,0,0,18.8716043,24.59395355,72.73854477,20.80545459,54,0,65.518519,7.957621,81.77720893,-17.25457848,109.4699685,-13.11802566,116.2379509,-62.65785227
38,8.341051938e-08,0,0,19.08550573,24.42833336,72.95052124,20.61256281,54,0,65.518519,7.957621,81.57791529,-17.38198814,109.3327907,-13.68511166,115.3143116,-63.32603645
38.5,8.782772909e-08,0,0,19.29795373,24.26085286,73.16097786,20.41707443,54,0,65.518519,7.957621,81.37930212,-17.50677688,109.1894905,-14.25202248,114.3803347,-63.98184395
39,9.25643846e-08,0,0,19.50893212,24.09152481,73.36989568,20.21897975,54,0,65.518519,7.957621,81.18141461,-17.62897123,109.0400321,-14.81873379,113.436077,-64.62510684
39.5,9.764893605e-08,0,0,19.71842482,23.92036209,73.5772557,20.01826816,54,0,65.518519,7.957621,80.98429808,-17.74859767,108.884378,-15.38522205,112.4815922,-65.25565475
40,1.031129102e-07,0,0,19.9264159,23.74737774,73.78303889,19.81492804,54,0,65.518519,7.957621,80.78799808,-17.86568261,108.7224888,-15.95146458,111.5169305,-65.87331455
40.5,1.08991344e-07,0,0,20.13288949,23.57258494,73.98722612,19.60894676,54,0,65.518519,7.957621,80.59256046,-17.98025237,108.5543233,-16.51743963,110.5421383,-66.47791001
41,1.1532331e-07,0,0,20.33782989,23.39599699,74.1897982,19.40031055,54,0,65.518519,7.957621,80.39803147,-18.09233311,108.3798381,-17.08312638,109.5572583,-67.06926137
41.5,1.221522652e-07,0,0,20.54122149,23.21762735,74.39073586,19.18900446,54,0,65.518519,7.957621,80.20445791,-18.20195084,108.1989878,-17.64850505,108.5623287,-67.64718497
42,1.295268817e-07,0,0,20.74304879,23.03748959,74.59001972,18.97501223,54,0,65.518519,7.957621,80.01188724,-18.30913133,108.0117242,-18.2135569,107.5573831,-68.2114927
42.5,1.375017078e-07,0,0,20.94329643,22.85559744,74.78763028,18.75831625,54,0,65.518519,7.957621,79.8203677,-18.41390009,107.8179969,-18.77826433,106.5424503,-68.76199161
43,1.461379142e-07,0,0,21.14194916,22.67196475,74.9835479,18.53889745,54,0,65.518519,7.957621,79.6299485,-18.51628234,107.6177527,-19.34261095,105.5175534,-69.29848323
43.5,1.555044093e-07,0,0,21.33899184,22.4866055,75.17775281,18.31673517,54,0,65.518519,7.957621,79.44067997,-18.61630296,107.4109353,-19.90658163,104.4827103,-69.82076309
44,1.656788911e-07,0,0,21.53440948,22.29953381,75.37022504,18.09180708,54,0,65.518519,7.957621,79.25261375,-18.71398641,107.1974854,-20.47016256,103.4379321,-70.32861995
44.5,1.767492748e-07,0,0,21.72818719,22.11076393,75.56094444,17.86408902,54,0,65.518519,7.957621,79.06580304,-18.80935672,106.97734,-21.03334138,102.3832237,-70.82183514
45,1.888152781e-07,0,0,21.92031021,21.92031022,75.74989065,17.6335549,54,0,65.518519,7.957621,78.88030275,-18.90243737,106.7504328,-21.59610723,101.3185827,-71.30018172
45.5,2.019902823e-07,0,0,22.11076392,21.7281872,75.93704305,17.40017655,54,0,65.518519,7.957621,78.69616986,-18.99325131,106.5166932,-22.15845085,100.2439989,-71.76342362
46,2.16403599e-07,0,0,22.2995338,21.53440949,76.12238075,17.16392355,54,0,65.518519,7.957621,78.51346367,-19.08182082,106.2760465,-22.72036468,99.15945387,-72.21131464
46.5,2.322031989e-07,0,0,22.48660549,21.33899185,76.30588257,16.92476306,54,0,65.518519,7.957621,78.33224609,-19.16816745,106.0284133,-23.28184298,98.06492007,-72.64359736
47,2.495588589e-07,0,0,22.67196474,21.14194917,76.48752697,16.68265964,54,0,65.518519,7.957621,78.15258211,-19.25231193,105.7737094,-23.84288196,96.96036038,-73.06000195
47.5,2.686661773e-07,0,0,22.85559743,20.94329644,76.66729204,16.43757506,54,0,65.518519,7.957621,77.97454014,-19.3342741,105.511845,-24.40347987,95.84572713,-73.46024482
48,2.897511138e-07,0,0,23.03748958,20.7430488,76.84515543,16.18946805,54,0,65.518519,7.957621,77.79819252,-19.41407276,105.2427246,-24.96363715,94.72096131,-73.8440271
48.5,3.13075823e-07,0,0,23.21762734,20.5412215,77.02109433,15.93829408,54,0,65.518519,7.957621,77.62361607,-19.49172555,104.9662464,-25.52335663,93.58599159,-74.21103296
49,3.38945533e-07,0,0,23.39599698,20.3378299,77.19508541,15.68400508,54,0,65.518519,7.957621,77.45089268,-19.56724883,104.6823018,-26.08264361,92.44073328,-74.56092772
49.5,3.677171989e-07,0,0,23.57258492,20.1328895,77.36710474,15.42654916,54,0,65.518519,7.957621,77.28011008,-19.6406575,104.3907746,-26.64150613,91.28508713,-74.89335572
50,3.998100695e-07,0,0,23.74737773,19.9264159,77.53712774,15.16587025,54,0,65.518519,7.957621,77.1113626,-19.7119648,104.0915407,-27.19995509,90.11893809,-75.20793786
50.5,4.357188033e-07,0,0,23.92036207,19.71842483,77.70512912,14.90190782,54,0,65.518519,7.957621,76.94475215,-19.7811821,103.7844674,-27.75800452,88.94215379,-75.50426891
51,4.760299177e-07,0,0,24.09152479,19.50893213,77.87108274,14.63459641,54,0,65.518519,7.957621,76.7803893,-19.84831863,103.4694122,-28.31567177,87.75458298,-75.78191433
