q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_eh_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_h_Nm
22.5,-0.00821621925449,-8.21621925449,-0.00018818868685,-0.000372009888852,-0.00162743814833,-0.000114526572551,-0.00317020035065,-0.00022582642422,-0.000332188409059,-0.00149868133868,-0.000687159435303
23,-0.00822817790426,-8.22817790426,-0.000193114127921,-0.000380964744744,-0.00163727045874,-0.000112719191084,-0.00315412617376,-0.000231736953506,-0.000339710163611,-0.0015022209444,-0.000676315146505
23.5,-0.00823943062193,-8.23943062193,-0.000198024862604,-0.000389916084372,-0.00164702627441,-0.00011090946278,-0.00313756091433,-0.000237629835125,-0.000347244291433,-0.00150566212019,-0.000665456776678
24,-0.00824998822511,-8.24998822511,-0.000202920516927,-0.000398863987326,-0.00165670620529,-0.000109098230594,-0.00312050893634,-0.000243504620313,-0.000354791360676,-0.00150900498408,-0.000654589383565
24.5,-0.008259861543,-8.259861543,-0.000207800718067,-0.000407808559299,-0.00166631090818,-0.00010728632268,-0.00310297459071,-0.000249360861681,-0.000362351977268,-0.00151224966904,-0.000643717936078
25,-0.00826906140335,-8.26906140335,-0.000212665094378,-0.00041674993339,-0.00167584108867,-0.000105474551732,-0.00308496220145,-0.000255198113253,-0.000369926786831,-0.00151539632325,-0.000632847310394
25.5,-0.00827759861976,-8.27759861976,-0.000217513275418,-0.000425688271461,-0.0016852975032,-0.000103663714379,-0.00306647605146,-0.000261015930502,-0.00037751647669,-0.00151844511037,-0.000621982286274
26,-0.00828548397913,-8.28548397913,-0.00022234489198,-0.000434623765584,-0.00169468096115,-0.000101854590604,-0.003047520368,-0.000266813870376,-0.000385121778,-0.00152139620981,-0.000611127543626
26.5,-0.00829272822937,-8.29272822937,-0.000227159576118,-0.000443556639559,-0.00170399232708,-0.000100047943218,-0.00302809930778,-0.000272591491341,-0.000392743467997,-0.00152424981696,-0.000600287659309
27,-0.00829934206734,-8.29934206734,-0.000231956961174,-0.000452487150522,-0.00171323252312,-9.82445173614e-05,-0.00300821694168,-0.000278348353408,-0.000400382372374,-0.00152700614353,-0.000589467104168
27.5,-0.00830533612699,-8.30533612699,-0.000236736681809,-0.000461415590648,-0.00172240253141,-9.64450400546e-05,-0.00298787723904,-0.000284084018171,-0.000408039367801,-0.00152966541774,-0.000578670240327
28,-0.00831072096786,-8.31072096786,-0.000241498374029,-0.000470342288949,-0.00173150339673,-9.4650219785e-05,-0.00296708405155,-0.000289798048835,-0.000415715384589,-0.00153222788468,-0.00056790131871
28.5,-0.00831550706365,-8.31550706365,-0.000246241675213,-0.000479267613184,-0.00174053622929,-9.28607461355e-05,-0.0029458410967,-0.000295490010256,-0.000423411409519,-0.00153469380654,-0.000557164476813
29,-0.00831970479113,-8.31970479113,-0.00025096622414,-0.000488191971875,-0.0017495022076,-9.10772894526e-05,-0.00292415194064,-0.000301159468968,-0.000431128488844,-0.0015370634629,-0.000546463736715
29.5,-0.00832332441923,-8.32332441923,-0.000255671661018,-0.000497115816462,-0.00175840258158,-8.93005005555e-05,-0.00290201998057,-0.000306805993221,-0.000438867731472,-0.00153933715101,-0.000535803003333
30,-0.0083263760983,-8.3263760983,-0.000260357627508,-0.000506039643573,-0.00176723867582,-8.75310104845e-05,-0.00287944842654,-0.000312429153009,-0.000446630312351,-0.0015415151861,-0.000525186062907
30.5,-0.00832886984958,-8.32886984958,-0.000265023766756,-0.000514963997455,-0.00177601189303,-8.5769430288e-05,-0.00285644028255,-0.000318028520107,-0.000454417476075,-0.0015435979016,-0.000514616581728
31,-0.0083308155548,-8.3308155548,-0.000269669723419,-0.000523889472541,-0.00178472371766,-8.40163508494e-05,-0.00283299832695,-0.000323603668102,-0.000462230540709,-0.00154558564947,-0.000504098105097
31.5,-0.00833222294588,-8.33222294588,-0.000274295143687,-0.000532816716201,-0.00179337571984,-8.22723427513e-05,-0.0028091250921,-0.000329154172425,-0.000470070901876,-0.00154747880049,-0.000493634056508
32,-0.00833310159472,-8.33310159472,-0.000278899675319,-0.000541746431662,-0.00180196955944,-8.05379561771e-05,-0.00278482284309,-0.000334679610383,-0.00047794003711,-0.00154927774448,-0.000483227737062
