q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,h_x_mm,h_y_mm,i_x_mm,i_y_mm
61,5.963931173e-06,0,-0,20.35989544,13.26516706,59.28353104,-2.513001597,39.17695473,-5.308641975,49.05349794,-0.9053497942,65.31311022,-37.80158641,51.37030413,-23.1852159,38.10577092,-58.68821029
61.5,7.545528362e-06,0,-0,20.47487914,13.08699061,59.32894332,-2.861730773,39.17695473,-5.308641975,49.05349794,-0.9053497942,64.74630751,-38.2494718,51.27815324,-23.19460603,36.88481055,-58.25515735
62,9.765877614e-06,0,-0,20.5883036,12.90781755,59.36905094,-3.218361642,39.17695473,-5.308641975,49.05349794,-0.9053497942,64.1599812,-38.69634135,51.1994419,-23.20232213,35.64919822,-57.76531768
62.5,1.293187779e-11,0,-0,20.70016023,12.72766146,59.40351002,-3.583399665,39.17695473,-5.308641975,49.05349794,-0.9053497942,63.5528776,-39.14212221,51.1371163,-23.20823155,34.39834153,-57.21151697
63,2.705746738e-11,0,-0,20.81044043,12.54653615,59.43193372,-3.957410534,39.17695473,-5.308641975,49.05349794,-0.9053497942,62.92359151,-39.58672888,51.09515456,-23.21211196,33.13158145,-56.5845563
63.5,6.587441703e-11,0,-0,20.91913582,12.36445537,59.45388096,-4.341035259,39.17695473,-5.308641975,49.05349794,-0.9053497942,62.2705278,-40.03006019,51.07921444,-23.21356516,31.84813776,-55.87203557
64,1.943902816e-10,0,-0,21.02623814,12.18143298,59.46884809,-4.735001047,39.17695473,-5.308641975,49.05349794,-0.9053497942,61.59187337,-40.47199538,51.0976606,-23.21188245,30.54705201,-55.05654427
64.5,7.4436457e-10,0,-0,21.13173924,11.99748294,59.47625538,-5.140138883,39.17695473,-5.308641975,49.05349794,-0.9053497942,60.88555195,-40.91238907,51.16370678,-23.20573138,29.22701896,-54.11190758
65,4.185821467e-09,0,-0,21.23563106,11.81261924,59.47543046,-5.557404995,39.17695473,-5.308641975,49.05349794,-0.9053497942,60.14916879,-41.35106472,51.30031247,-23.19238245,27.88593558,-52.99468027
65.5,4.505828599e-08,0,-0,21.33790572,11.62685596,59.46558695,-5.987908405,39.17695473,-5.308641975,49.05349794,-0.9053497942,59.37993955,-41.78780595,51.55411282,-23.16533466,26.51937698,-51.62007073
66,1.988335292e-06,0,-0,21.4385554,11.44020727,59.44579632,-6.432946789,39.17695473,-5.308641975,49.05349794,-0.9053497942,58.57459741,-42.22234483,52.05515623,-23.10332472,25.11282704,-49.75892541
