finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,distal_start_x_mm,distal_start_y_mm,distal_end_x_mm,distal_end_y_mm,r4_x_mm,r4_y_mm,rod_length_mm,rod_error_mm,perpendicular_deviation_deg,mechanism_residual_mm
little,0.0,0.0,96.932098,10.514118,0.0,-2.0,34.0,-2.0,57.0,-2.0,80.0,-2.0,57.0,-2.0,80.0,-2.0,68.5,-2.0,28.0,3.0642454600063935,66.24376121835917,1.0075033500811514e-06
little,0.5,0.007633587786259542,96.96557307365543,9.407318575703622,0.0,-2.0,33.99872507374635,-2.2944373614393214,56.99629983025596,-2.6284363416054677,79.99212567188638,-3.066607382869641,56.99629983025596,-2.6284363416054677,79.99212567188638,-3.066607382869641,68.49421275107117,-2.8475218622375547,28.0,2.996765521225335,65.62005078098242,1.3495146333752928e-08
little,1.0,0.015267175572519083,96.98537435857926,8.299321161569498,0.0,-2.0,33.994900390599334,-2.58885264135381,56.985199928099156,-3.256780164394586,79.96850480971634,-4.132963203851698,56.985199928099156,-3.256780164394586,79.96850480971634,-4.132963203851698,68.47685236890774,-3.694871684123142,28.0,2.9288940645353385,64.99918069275779,1.355390111257293e-08
little,1.5,0.022900763358778626,96.99146090768079,7.190322661432497,0.0,-2.0,33.9885262373936,-2.883223759874652,56.966702114640555,-3.884938966061595,79.92914377933732,-5.198815975297086,56.966702114640555,-3.884938966061595,79.92914377933732,-5.198815975297087,68.44792294698894,-4.541877470679341,28.0,2.860623442396328,64.38114436682285,1.3615867544558569e-08
little,2.0,0.030534351145038167,96.9837948683872,6.0805200420341246,0.0,-2.0,33.979603092162975,-3.1775286404449465,56.94080942468164,-4.512820277318664,79.87405318827882,-6.263914358009517,56.94080942468164,-4.512820277318664,79.87405318827882,-6.263914358009517,68.40743130648023,-5.38836731766409,28.0,2.791945889984447,63.76593672863539,1.3681393795650365e-08
little,2.5,0.03816793893129771,96.96234155506866,4.970111109580549,0.0,-2.0,33.968131624104664,-3.4717452114753504,56.90752610613943,-5.140331678396702,79.80324788242856,-7.328007235411366,56.90752610613943,-5.140331678396702,79.80324788242856,-7.328007235411366,68.355386994284,-6.234169456904034,28.0,2.722853908048684,63.153552865752715,1.3750785399224696e-08
little,3.0,0.04580152671755725,96.9270694623122,3.859294427920463,0.0,-2.0,33.95411269352899,-3.7658514079993552,56.8668576192415,-5.767380815536423,79.71674694138085,-8.390843787636964,56.8668576192415,-5.767380815536423,79.71674694138085,-8.390843787636964,68.29180228031117,-7.079112301586694,28.0,2.653340248082472,62.54398808460998,1.3824354994085297e-08
little,3.5,0.05343511450381679,96.87795027488391,2.748269236735056,0.0,-2.0,33.93754735179495,-4.0598251733280595,56.81881063549146,-6.393875417466369,79.61457367245856,-9.452173565529113,56.81881063549146,-6.393875417466369,79.61457367245856,-9.452173565529113,68.216692153975,-7.923024491497741,28.0,2.5833978966953204,61.93723796692377,1.3902443640745332e-08
little,4.0,0.061068702290076333,96.81495887438535,1.6372353698741104,0.0,-2.0,33.91843684123128,-4.353644460704327,56.76339303640477,-7.0197233118646745,79.4967556034108,-10.511746564514716,56.76339303640477,-7.019723311864675,79.4967556034108,-10.511746564514716,68.13007431990779,-8.765734938189695,28.0,2.513020059216732,61.33329842572592,1.3985385294290609e-08
little,4.5,0.06870229007633588,96.7380733426146,0.526393173969248,0.0,-2.0,33.89678259504341,-4.647287234956202,56.70061391201556,-7.644832441801315,79.36332447378855,-11.569313298335453,56.70061391201556,-7.644832441801315,79.36332447378855,-11.569313298335453,68.03196919290205,-9.607072870068384,28.0,2.4422001425620934,60.73216576103871,1.4073528120661649e-08
