q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,g_x_mm,g_y_mm,h_x_mm,h_y_mm
16,3.404488957e-07,-53.08694786,0,-41.7272101,39.6161135,8.449458119,15.90852194,0,0,14.43707017,8.19363334,26.85076493,-18.80912608,54.5737075,-6.722780222,66.95930956,-57.47794112
16.5,3.308937302e-07,-53.08694786,0,-41.38193123,39.51547388,8.761934525,15.7385805,0,0,14.43707017,8.19363334,26.351237,-19.03321852,54.43032209,-7.799061607,65.2602798,-58.90876238
17,3.218419167e-07,-53.08694786,0,-41.03754373,39.41182501,9.071714098,15.56208264,0,0,14.43707017,8.19363334,25.85569079,-19.24473279,54.26530242,-8.874811466,63.5266756,-60.29189486
17.5,3.132931212e-07,-53.08694786,0,-40.69407385,39.30517478,9.378735497,15.37900301,0,0,14.43707017,8.19363334,25.36437292,-19.44407436,54.07850924,-9.949882615,61.75941231,-61.62669779
18,3.052504027e-07,-53.08694786,0,-40.35154773,39.1955313,9.682934072,15.18931206,0,0,14.43707017,8.19363334,24.87751443,-19.63164214,53.86978781,-11.02412298,59.9593869,-62.91252517
18.5,2.977202911e-07,-53.08694786,0,-40.00999146,39.08290294,9.984241737,14.99297602,0,0,14.43707017,8.19363334,24.39533201,-19.80782827,53.63896752,-12.09737534,58.1274782,-64.1487228
19,2.907129328e-07,-53.08694786,0,-39.66943105,38.96729825,10.28258683,14.78995677,0,0,14.43707017,8.19363334,23.91802927,-19.97301796,53.38586145,-13.16947702,56.2645471,-65.33462507
19.5,2.842423932e-07,-53.08694786,0,-39.32989244,38.84872606,10.57789395,14.58021169,0,0,14.43707017,8.19363334,23.44579799,-20.12758933,53.11026582,-14.24025958,54.37143695,-66.46955165
20,2.783271036e-07,-53.08694786,0,-38.99140148,38.72719539,10.87008376,14.36369355,0,0,14.43707017,8.19363334,22.97881948,-20.27191336,52.81195941,-15.30954842,52.44897397,-67.55280393
20.5,2.729904018e-07,-53.08694786,0,-38.65398395,38.60271549,11.1590728,14.14035033,0,0,14.43707017,8.19363334,22.5172659,-20.40635384,52.49070282,-16.37716239,50.49796783,-68.58366117
21,2.682613243e-07,-53.08694786,0,-38.31766555,38.47529585,11.44477326,13.91012504,0,0,14.43707017,8.19363334,22.06130169,-20.53126742,52.14623769,-17.44291335,48.51921226,-69.56137645
21.5,2.641756325e-07,-53.08694786,0,-37.98247188,38.34494616,11.72709267,13.67295547,0,0,14.43707017,8.19363334,21.61108502,-20.64700362,51.7782858,-18.50660565,46.51348586,-70.48517232
22,2.607770959e-07,-53.08694786,0,-37.64842848,38.21167636,12.00593368,13.42877397,0,0,14.43707017,8.19363334,21.16676939,-20.75390503,51.38654803,-19.56803557,44.48155297,-71.35423603
22.5,2.581191971e-07,-53.08694786,0,-37.31556078,38.07549659,12.28119371,13.17750717,0,0,14.43707017,8.19363334,20.72850522,-20.85230741,50.97070324,-20.62699075,42.42416465,-72.16771442
23,2.961446555e-07,-53.08694786,0,-36.98389414,37.93641722,12.55276456,12.91907567,0,0,14.43707017,8.19363334,20.29644167,-20.94253996,50.53040699,-21.68324945,40.34205994,-72.92470832
23.5,3.434738005e-07,-53.08694786,0,-36.6534538,37.79444885,12.82053208,12.65339368,0,0,14.43707017,8.19363334,19.87072851,-21.02492559,50.06529012,-22.73657987,38.23596709,-73.62426642
24,3.979706378e-07,-53.08694786,0,-36.32426494,37.64960228,13.08437566,12.38036866,0,0,14.43707017,8.19363334,19.45151829,-21.09978126,49.57495717,-23.78673922,36.10660515,-74.26537852
24.5,4.608227542e-07,-53.08694786,0,-35.99635262,37.50188855,13.3441678,12.09990085,0,0,14.43707017,8.19363334,19.0389686,-21.16741841,49.05898458,-24.83347287,33.95468567,-74.84696798
25,5.334572606e-07,-53.08694786,0,-35.66974182,37.35131891,13.5997735,11.81188283,0,0,14.43707017,8.19363334,18.63324471,-21.22814343,48.51691876,-25.87651328,31.78091468,-75.36788336
25.5,6.175996532e-07,-53.08694786,0,-35.3444574,37.19790482,13.85104969,11.51619893,0,0,14.43707017,8.19363334,18.2345225,-21.28225825,47.94827385,-26.91557882,29.58599497,-75.82688904
26,7.15349266e-07,-53.08694786,0,-35.02052415,37.04165797,14.09784454,11.2127247,0,0,14.43707017,8.19363334,17.84299185,-21.330061,47.35252927,-27.9503725,27.37062865,-76.22265451
26.5,8.292779938e-07,-53.08694786,0,-34.69796672,36.88259025,14.33999666,10.90132615,0,0,14.43707017,8.19363334,17.45886053,-21.37184675,46.72912698,-28.98058052,25.13552021,-76.55374229
27,9.625599233e-07,-53.08694786,0,-34.37680968,36.72071377,14.57733429,10.58185908,0,0,14.43707017,8.19363334,17.08235877,-21.40790849,46.07746834,-30.0058706,22.88137996,-76.81859398
27.5,1.119143469e-06,-53.08694786,0,-34.0570775,36.55604088,14.80967428,10.25416816,0,0,14.43707017,8.19363334,16.71374462,-21.43853811,45.39691071,-31.02589018,20.60892813,-77.01551425
28,1.303982813e-06,-53.08694786,0,-33.73879451,36.3885841,15.03682103,9.918086046,0,0,14.43707017,8.19363334,16.35331045,-21.46402765,44.68676348,-32.04026433,18.31889961,-77.14265201
28.5,1.523352502e-06,-53.08694786,0,-33.42198496,36.21835619,15.25856524,9.573432246,0,0,14.43707017,8.19363334,16.0013907,-21.48467077,43.94628369,-33.04859337,16.01204965,-77.19797854
29,1.78528105e-06,-53.08694786,0,-33.10667297,36.04537011,15.47468251,9.220011943,0,0,14.43707017,8.19363334,15.65837141,-21.50076442,43.17467101,-34.05045026,13.68916057,-77.17926129
