finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,slot_start_x_mm,slot_start_y_mm,slot_end_x_mm,slot_end_y_mm,slider_x_mm,slider_y_mm,slider_translation_mm,slot_length_mm,rod_length_mm,rod_error_mm,mechanism_residual_mm
ring,0.0,0.0,96.932098,10.514118,0.0,-1.0,44.0,-1.0,70.0,-1.0,96.0,-1.0,70.0,-11.0,96.0,-11.0,79.01164246220532,-11.0,9.01164246220532,26.000000000000004,28.0,0.0,1.0075033500811514e-06
ring,0.5,0.007633587786259542,96.96557307365546,9.407318575703611,0.0,-1.0,43.99940603198138,-1.2286237801300222,69.99749515397887,-1.5438411728537547,95.99290760251141,-2.0322381739498736,69.80965015355729,-11.542076729981654,95.80506260208982,-12.030473731077773,78.57548430458287,-11.706767600724445,8.767381105335419,26.000000000000004,28.0,0.0,1.3495174755462358e-08
ring,1.0,0.015267175572519083,96.98537435857926,8.2993211615695,0.0,-1.0,43.99762414396178,-1.4572413877503312,69.98998091283289,-2.087629839199199,95.97163232585753,-3.064251491669969,69.61435720034413,-12.080572690362523,95.59600861336877,-13.057194342833293,78.13040449005808,-12.400681525801303,8.522061435308382,26.000000000000004,28.0,0.0,1.355390111257293e-08
ring,1.5,0.022900763358778626,96.99146090768079,7.190322661432499,0.0,-1.0,43.99465438404958,-1.685846650517862,69.97745816727254,-2.631313499505334,95.93617991686106,-4.095815164728066,69.41418829603303,-12.615437249347071,95.37291004562155,-14.079938914569803,77.67697555619681,-13.081595245053576,8.275926327830975,26.000000000000004,28.0,0.0,1.3615867544558569e-08
ring,2.0,0.030534351145038167,96.9837948683872,6.080520042034133,0.0,-1.0,43.99049683242401,-1.9144333964228435,69.95992840167631,-3.174839668194779,95.88655995151672,-5.126704540264597,69.20921114318791,-13.146621033518013,95.13584269302832,-15.098485905587829,77.21577181016124,-13.74938828779549,8.02921802398923,26.000000000000004,28.0,0.0,1.3681393795650365e-08
ring,2.5,0.03816793893129771,96.96234155506866,4.970111109580557,0.0,-1.0,43.98515160133289,-2.1429954539554323,69.93739369388197,-3.718155880618066,95.82278583192712,-6.156695168722804,68.99949396768784,-13.674075933712356,94.88488610573299,-16.112615221817094,76.74736872407125,-14.403966247600515,7.782178558148804,26.000000000000004,28.0,0.0,1.3750785399224696e-08
ring,3.0,0.04580152671755725,96.9270694623122,3.859294427920452,0.0,-1.0,43.9786188350897,-2.371526652272336,69.90985671489474,-4.261209700024919,95.74487478201473,-7.185562871511529,68.7851054950922,-14.197755110455685,94.62012356221219,-17.122108281942296,76.27234128354614,-15.045260680869795,7.535049133468777,26.000000000000004,28.0,0.0,1.3824354994085297e-08
ring,3.5,0.05343511450381679,96.87795027488391,2.7482692367350645,0.0,-1.0,43.97089871006963,-2.6000208213634144,69.87732072851203,-4.803948724531512,95.65284784201103,-8.213083808578208,68.5661149269556,-14.717612998954204,94.3416420404546,-18.126748083000898,75.79126238332165,-15.67322890439997,7.2880695334892165,26.000000000000004,28.0,0.0,1.3902443640745332e-08
ring,4.0,0.061068702290076333,96.81495887438535,1.6372353698741113,0.0,-1.0,43.96199143470484,-2.8284717922182647,69.83978959086468,-5.346320594082703,95.54672986172467,-9.239034545869668,68.34259191710046,-15.233605313644238,94.04953218796045,-19.126319265431203,75.30470127662085,-16.28785369762607,7.041477571436952,26.000000000000004,28.0,0.0,1.3985385294290609e-08
ring,4.5,0.06870229007633588,96.7380733426146,0.5263931739692324,0.0,-1.0,43.95189724947882,-3.056873396992773,69.79726774987535,-5.888272997408235,95.42654949259143,-10.263192122658397,68.11460654785606,-15.745689052299038,93.74388829057214,-20.1206081775492,74.81322208396561,-16.889142915572144,6.795508578321604,26.000000000000004,28.0,0.0,1.4073528120661649e-08
