finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,distal_start_x_mm,distal_start_y_mm,distal_end_x_mm,distal_end_y_mm,r4_x_mm,r4_y_mm,rod_length_mm,rod_error_mm,perpendicular_deviation_deg,mechanism_residual_mm
index,57.5,0.8778625954198473,17.216094289688826,-77.40827954123208,0.0,-2.0,30.469820326659615,-27.915054490798987,26.47344822272889,-52.593567614707496,12.893807316176856,-73.58388330669028,26.47344822272889,-52.593567614707496,12.893807316176856,-73.58388330669028,19.683627769452873,-63.08872546069889,28.0,13.469399512096167,66.87637784061069,2.092450394286516e-06
index,58.0,0.8854961832061069,15.844500511428805,-77.34847629743861,0.0,-2.0,30.31042513296292,-28.101305106431933,25.94298173040108,-52.71685787547247,11.974206498737763,-73.4502444422461,25.94298173040108,-52.71685787547247,11.974206498737763,-73.4502444422461,18.958594114569422,-63.08355115885929,28.0,13.399120979256297,68.34524537696193,2.4376642286938477e-06
index,58.5,0.8931297709923665,14.455352875240024,-77.25509455616204,0.0,-2.0,30.149891477432583,-28.28657535509405,25.412366668921354,-52.833588588657534,11.059316862423223,-73.30283286518576,25.412366668921354,-52.833588588657534,11.059316862423223,-73.30283286518576,18.23584176567229,-63.06821072692165,28.0,13.318046143818455,69.88314328116282,2.865088291059692e-06
index,59.0,0.9007633587786259,13.047583716432058,-77.12582310950103,0.0,-2.0,29.988225389724704,-28.47085827802096,24.881692947882353,-52.943768330166606,10.149362006318377,-73.14174904676887,24.881692947882353,-52.943768330166606,10.149362006318377,-73.14174904676887,17.515527477100363,-63.042758688467735,28.0,13.225182744430692,71.4950983909703,3.4014742169574674e-06
index,59.5,0.9083969465648855,11.619958754725332,-76.95795517069268,0.0,-2.0,29.825432942029614,-28.654146953532294,24.351050276037498,-53.047406974002804,9.244563591446632,-72.9670972338507,24.351050276037498,-53.047406974002804,9.244563591446632,-72.9670972338507,16.797806933742066,-63.007252103926746,28.0,13.119400958898883,73.18699694756009,4.085048793456281e-06
index,60.0,0.916030534351145,10.17103890429027,-76.74828521847729,0.0,-2.0,29.66152024884382,-28.836434497291698,23.820528142116526,-53.144515688721626,8.345141275678946,-72.77898541250309,23.820528142116526,-53.144515688721626,8.345141275678946,-72.77898541250309,16.082834708897735,-62.96175055061236,28.0,12.999404419036685,74.96583424315223,4.971847602064372e-06
index,60.5,0.9236641221374046,8.699128574653152,-76.49296780185286,0.0,-2.0,29.496493466740333,-29.01771406256541,23.290215795698813,-53.23510693359782,7.451312649321125,-72.57752527049837,23.290215795698813,-53.23510693359782,7.451312649321125,-72.57752527049837,15.370764222509969,-62.906316102048095,28.0,12.863691776738904,76.84006477879109,6.1464739502525845e-06
index,61.0,0.9312977099236641,7.202203661342708,-76.18731922753345,0.0,-2.0,29.330358794137425,-29.197978840479404,22.760202228148877,-53.31919445450677,6.563293171399511,-72.36283215866902,22.760202228148877,-53.31919445450677,6.563293171399511,-72.36283215866902,14.661747699774194,-62.8410133065879,28.0,12.710504292267679,78.820105945203,7.741158484009247e-06
index,61.5,0.9389312977099237,5.677807824267937,-75.82553041277475,0.0,-2.0,29.163122471065815,-29.377222060275148,22.230576153618326,-53.39679327952145,5.681296106664675,-72.13502505115619,22.230576153618326,-53.39679327952145,5.681296106664675,-72.13502505115619,13.9559361301415,-62.76590916533882,28.0,12.53775193010456,80.91908441585721,9.971228536187482e-06
index,62.0,0.9465648854961832,4.1228818951836885,-75.40020675878093,0.0,-2.0,28.994790778934295,-29.55543698956391,21.701425990118487,-53.46791971422597,4.805532463332774,-71.8942265045603,21.701425990118487,-53.46791971422597,4.805532463332774,-71.8942265045603,13.25347922672563,-62.68107310939313,28.0,12.342919543486095,83.154088943589,2.2502888441522373e-11
index,62.5,0.9541984732824428,2.5335727968003567,-74.90179234560222,0.0,-2.0,28.82537004029381,-29.732616934579614,21.17283984066805,-53.53259133674685,3.9362109315839824,-71.64056261600746,21.17283984066805,-53.53259133674685,3.9362109315839824,-71.64056261600746,12.554525386126016,-62.58657697637715,28.0,12.122845960692139,85.5476361553144,3.5932146147388266e-11
index,63.0,0.9618320610687023,0.9047499638505201,-74.31730528309726,0.0,-2.0,28.654866618599964,-29.908755240430295,20.64490547451976,-53.59082699250311,3.073537822836766,-71.37416298014583,20.64490547451976,-53.59082699250311,3.073537822836766,-71.37416298014583,11.859221648678263,-62.48249498632447,28.0,11.873525349466735,88.13130396876979,7.550227110186825e-11
index,63.5,0.9694656488549618,-0.7706853224415795,-73.62841862038975,0.0,-2.0,28.48328691797402,-30.083845291348016,20.117710308470606,-53.64264678867656,2.2177170098171217,-71.09516064508591,20.117710308470606,-53.64264678867656,2.2177170098171217,-71.09516064508591,11.167713659143864,-62.368903716881235,28.0,11.589575078449347,89.04891537509309,2.1049828546892968e-10
index,64.0,0.9770992366412213,-2.5032764760492157,-72.80750930862757,0.0,-2.0,28.31063738296237,-30.257880510937365,19.591341388259565,-53.68807208840339,1.3689498674412341,-70.80369206730009,19.591341388259565,-53.68807208840339,1.3689498674412341,-70.80369206730009,10.4801456278504,-62.24588207785174,28.0,11.263297239602576,85.92122061384325,7.564224802081299e-10
index,64.5,0.9847328244274809,-4.310356652160266,-71.80884958227143,0.0,-2.0,28.13692449829443,-30.4308543624225,19.065885370056968,-53.7271255046887,0.5274352145295751,-70.49989706549601,19.065885370056968,-53.7271255046887,0.5274352145295751,-70.49989706549601,9.796660292293272,-62.11351128509236,28.0,10.882537811700985,82.36219314020292,3.940641590816085e-09
index,65.0,0.9923664122137404,-6.225468820286103,-70.54433580301038,0.0,-2.0,27.962154788639154,-30.60276034889263,18.541428502050024,-53.75983089404511,-0.30663074362902165,-70.18391877347916,18.541428502050024,-53.75983089404511,-0.30663074362902165,-70.18391877347916,9.117398879210501,-61.971874833762136,28.0,10.424714047460256,78.1245306603296,3.799871706178237e-08
index,65.5,1.0,-8.337387192276978,-68.78547914672866,0.0,-2.0,27.78633481835989,-30.773592013546043,18.018056606128045,-53.78621334985705,-1.1330544718464033,-69.85590359202054,18.018056606128045,-53.78621334985705,-1.1330544718464033,-69.85590359202054,8.442501067140821,-61.821058470938794,28.0,9.83223169049328,72.54068432380399,1.3302346104637763e-06
